cluster,state,district,date_announced,date_last_onset,category,status,cases_new,cases_total,cases_active,tests,icu,deaths,recovered
Kluster Pasar Chow Kit,"10,14","Titiwangsa, Gombak & Hulu Langat",2020-04-28,2020-04-02,workplace,ended,0,90,0,3829,0,0,90
Kluster Selayang Baru,10,Gombak,2020-04-30,2020-04-28,community,ended,0,52,0,3802,0,0,52
Kluster Kampung Baru,14,Titiwangsa,2020-05-01,2020-03-15,community,ended,0,24,0,5188,0,1,23
Kluster Pedas,"4,5","Alor Gajah, Seremban, Port Dickson & Rembau",2020-05-02,2020-04-12,workplace,ended,0,326,0,960,0,0,326
"Kluster Tahfiz Integrasi Ibnu Soleh, Lanchang",6,Temerloh,2020-05-02,2020-05-02,religious,ended,0,6,0,32,0,0,6
Kluster Tapak Pembinaan Kuala Lumpur,14,Titiwangsa,2020-05-03,2020-04-26,workplace,ended,0,31,0,488,0,0,31
Subkluster Tabligh Sri Petaling - Kluster di Kuching,13,"Kuching, Samarahan & Simunjan",2020-05-04,2020-03-18,religious,ended,0,41,0,1034,0,2,39
Subkluster Tabligh Sri Petaling - Kluster Pasar Borong KL,"5,6,10,14","Kepong, Gombak, Petaling, Jempol, Seremban, Bentong, Bera & Raub",2020-05-04,2020-04-01,religious,ended,0,204,0,16267,0,1,203
Kluster Tapak Pembinaan Setia Alam,10,Petaling,2020-05-06,2020-05-08,workplace,ended,0,15,0,1152,0,0,15
Kluster Pengawal Keselamatan Cheras,"10,14","Hulu Langat, Cheras & Titiwangsa",2020-05-07,2020-05-01,workplace,ended,0,39,0,906,0,0,39
Subkluster Tabligh Sri Petaling - Kluster Pasar Besar Jalan Othman,"10,14","Kepong, Gombak & Petaling",2020-05-11,2020-04-26,religious,ended,0,28,0,867,0,0,28
Kluster Benus,6,Bentong,2020-05-13,2020-05-11,community,ended,0,5,0,780,0,0,5
Kluster IPT Sabah,12,Kota Kinabalu,2020-05-13,2020-05-12,community,ended,0,3,0,1443,0,0,3
"Kluster Madrasah Barokatul Qodiri, Solok Duku",4,Alor Gajah,2020-05-14,2020-05-03,religious,ended,0,4,0,131,0,0,4
Kluster Pudu,14,Cheras & Lembah Pantai,2020-05-18,2020-05-10,community,ended,0,80,0,3387,0,0,80
Kluster Pasar Kajang,10,Hulu Langat,2020-05-21,2020-05-20,workplace,ended,0,5,0,277,0,0,5
Kluster DTI Bukit Jalil,"5,10,14","Cheras, Kepong & Port Dickson",2020-05-21,2020-08-11,detentionCentre,ended,0,653,0,1662,0,0,653
Kluster DTI Semenyih,10,Hulu Langat,2020-05-23,2020-05-23,detentionCentre,ended,0,66,0,1785,0,0,66
Kluster DTI Sepang,10,Sepang,2020-05-25,2020-05-24,detentionCentre,ended,0,72,0,1477,0,0,72
Kluster Tapak Pembinaan Kuala Lumpur 2,14,Lembah Pantai,2020-05-25,2020-05-24,workplace,ended,0,73,0,354,0,0,73
Kluster Syarikat Pembersihan,"5,10","Kuala Langat, Sepang & Seremban",2020-05-29,2020-05-28,workplace,ended,0,34,0,379,0,0,34
Kluster DTSI Putrajaya,"14,16",Putrajaya,2020-05-30,2020-05-30,detentionCentre,ended,0,2,0,137,0,0,2
Kluster Syarikat Pembinaan Jalan Maran,6,Maran,2020-05-31,2020-05-31,workplace,ended,0,2,0,48,0,0,2
Kluster Ladang Bera,6,Bera,2020-05-31,2020-05-31,workplace,ended,0,7,0,65,0,0,7
Kluster Kilang Papan Maran,6,Maran,2020-05-31,2020-05-31,workplace,ended,0,6,0,242,0,0,6
Kluster Pangsapuri Cheras,"10,14","Cheras, Kepong & Hulu Langat",2020-06-02,2020-05-26,community,ended,0,8,0,715,0,0,8
Kluster Syarikat Pembersihan Kuala Lumpur,"10,14",Titiwangsa & Hulu Langat ,2020-06-06,2020-06-06,workplace,ended,0,4,0,36,0,0,4
Kluster Gombak,"10,14",Gombak & Titiwangsa,2020-06-07,2020-05-19,community,ended,0,5,0,207,0,0,5
Kluster Warga Emas Kuala Selangor,10,Kuala Selangor,2020-06-15,2020-05-17,highRisk,ended,0,8,0,69,0,0,8
Kluster MDR,12,"Kota Kinabalu, Penampang & Tuaran",2020-06-17,2020-06-12,highRisk,ended,0,5,0,113,0,1,4
Kluster Tapak Pembinaan Kuching,13,Kuching,2020-06-18,2020-06-17,workplace,ended,0,3,0,315,0,0,3
Kluster Kidurong,13,Bintulu,2020-06-19,2020-06-13,community,ended,0,8,0,200,0,0,8
Kluster Lanjut,10,Sepang,2020-06-20,2020-06-07,community,ended,0,5,0,30,0,0,5
Kluster Kondominium Hulu Langat,10,Hulu Langat,2020-06-24,2020-06-10,community,ended,0,3,0,69,0,0,3
Kluster Bukit Bintang,"10,14",Lembah Pantai & Gombak,2020-06-24,2020-06-15,community,ended,0,11,0,304,0,0,11
Kluster Syarikat Pembinaan Kuching,13,Kuching,2020-06-24,2020-07-12,workplace,ended,0,2,0,91,0,0,2
Kluster Kejuruteraan Kuching,13,Kuching,2020-07-12,2020-07-12,workplace,ended,0,8,0,189,0,0,8
Kluster PUI Novgorod,"4,10",Alor Gajah & Sepang,2020-07-13,2020-07-07,import,ended,0,6,0,31,0,0,6
Kluster Mambong,13,Kuching & Samarahan,2020-07-16,2020-07-15,workplace,ended,0,7,0,293,0,0,7
Kluster Jupiter,13,Bintulu,2020-07-17,2020-07-13,import,ended,0,3,0,35,0,0,3
Kluster PUI Shirala,"14,16",Lembah Pantai,2020-07-17,2020-07-15,import,ended,0,2,0,3,0,0,2
Kluster Pusat Perubatan Kuching,13,Kuching,2020-07-17,2020-07-15,highRisk,ended,0,3,0,28,0,0,3
Kluster PUI Pitakwa,11,Kemaman,2020-07-17,2020-07-16,import,ended,0,3,0,46,0,0,3
Kluster Pasar Stutong,13,Kuching,2020-07-18,2020-07-18,workplace,ended,0,7,0,586,0,0,7
Kluster Restoran Kuala Lumpur,14,Lembah Pantai,2020-07-19,2020-07-06,workplace,ended,0,2,0,584,0,0,2
Kluster Jeti Kuching,13,Kuching,2020-07-19,2020-07-16,workplace,ended,0,2,0,25,0,0,2
Kluster Rumah Kongsi Sepang,10,Sepang,2020-07-19,2020-07-17,community,ended,0,3,0,96,0,0,3
Kluster Warga Emas Kluang,1,Kluang ,2020-07-20,2020-07-19,highRisk,ended,0,18,0,62,0,1,17
Kluster Sentosa,13,"Kuching, Bau, Samarahan & Serian",2020-07-21,2020-07-21,highRisk,ended,0,31,0,1064,0,0,31
Kluster Hyde Park,10,Klang ,2020-07-22,2020-07-19,import,ended,0,4,0,24,0,0,4
Kluster PUI Melbourne,13,Kuching,2020-07-22,2020-07-22,import,ended,0,3,0,102,0,0,3
Kluster PUI Ramnad,"14,16",Titiwangsa,2020-07-22,2020-07-22,import,ended,0,3,0,19,0,0,3
Kluster PUI Al Khobar,10,Petaling,2020-07-24,2020-07-21,import,ended,0,2,0,8,0,0,2
Kluster Elsa,6,Kuantan,2020-07-24,2020-07-23,import,ended,0,4,0,109,0,0,4
Kluster Bukit Tiram,"1,10",Johor Bahru & Petaling,2020-07-25,2020-07-25,religious,ended,0,10,0,144,0,0,10
Kluster Satok,13,Kuching,2020-07-28,2020-07-28,workplace,ended,0,4,0,932,0,0,4
Kluster PUI Sivagangga,"2,7,9","Kubang Pasu, Padang Terap, Kulim, Kangar, Seberang Perai Selatan & Seberang Perai Tengah",2020-07-28,2020-07-28,import,ended,0,45,0,6056,0,0,45
Kluster Meranti,"10,16",Sepang & Putrajaya,2020-08-09,2020-08-09,workplace,ended,0,2,0,58,0,0,2
Kluster Kurau,"7,8","Kinta, Kerian & Seberang Perai Tengah  ",2020-08-09,2020-08-10,community,ended,0,5,0,202,0,0,5
Kluster Tawar,"2,7","Baling, Kuala Muda, Kulim, Sik, Barat Daya, Timur Laut & Seberang Perai Utara",2020-08-13,2020-09-12,religious,ended,0,92,0,18272,0,3,89
Kluster Muda,2,Kuala Muda & Kota Setar,2020-08-14,2020-08-14,workplace,ended,0,3,0,325,0,0,3
Kluster Sala,2,"Yan, Kuala Muda, Kulim & Kota Setar",2020-08-15,2020-08-17,community,ended,0,11,0,1169,0,0,11
Kluster Alam (Kapal),13,Bintulu,2020-08-20,2020-08-08,import,ended,0,8,0,27,0,0,8
Kluster Maju,14,Titiwangsa,2020-08-21,2020-08-17,workplace,ended,0,3,0,675,0,0,3
Kluster MV Glen (Kapal),10,Klang,2020-08-30,2020-09-01,import,ended,0,3,0,93,0,0,3
Kluster Telaga,2,"Kota Setar,  Padang Terap,Kubang Pasu, Kuala Muda & Pokok Sena",2020-08-30,2020-09-10,highRisk,ended,0,16,0,5043,0,0,16
Kluster Bunga (Kapal),"5,10",Sepang & Port Dickson,2020-08-31,2020-09-17,import,ended,0,11,0,59,0,0,11
Kluster Benteng LD,12,"Lahad Datu, Tawau, Sandakan, Kinabatangan & Tuaran",2020-09-01,2020-11-15,import,ended,0,1146,0,16592,0,1,1145
Kluster DTI Semenyih 2,"5,10",Hulu Langat & Seremban,2020-09-04,2020-09-03,detentionCentre,ended,0,3,0,356,0,1,2
Kluster Sungai,"2,9","Kota Setar, Kubang Pasu, Pokok Sena & Kangar",2020-09-07,2020-10-04,highRisk,ended,0,101,0,25406,0,1,100
Kluster Laut,12,Kunak & Tuaran,2020-09-12,2020-11-06,import,ended,0,124,0,617,0,0,124
Kluster Pulau,12,"Kunak, Semporna & Tawau",2020-09-15,2020-10-14,community,ended,0,53,0,1035,0,0,53
Kluster Selamat,12,Semporna,2020-09-17,2020-09-25,community,ended,0,25,0,327,0,0,25
Kluster Bakau,12,Semporna,2020-09-19,2020-09-30,community,ended,0,18,0,182,0,1,17
Kluster Ara,"7,12",Sandakan & Barat Daya,2020-09-20,2020-09-15,community,ended,0,2,0,252,0,0,2
Kluster Kuarters,12,"Tongod, Telupid & Kinabatangan",2020-09-21,2020-10-10,highRisk,ended,0,9,0,1432,0,0,9
Kluster Bangau-Bangau,12,Semporna & Tawau,2020-09-22,2020-10-19,community,ended,0,432,0,1010,0,4,428
Kluster Udin,12,Tawau,2020-09-23,2020-09-22,community,ended,0,3,0,138,0,0,3
Kluster Orkim (Kapal),1,Johor Bahru,2020-09-25,2020-09-24,import,ended,0,2,0,32,0,0,2
Kluster Setapak,14,Titiwangsa,2020-09-27,2020-09-14,community,ended,0,3,0,154,0,0,3
Kluster Kampung Sakong,12,Semporna,2020-09-27,2020-09-30,community,ended,0,10,0,66,0,0,10
Kluster Buang Sayang,"5,12,14","Sipitang, Pitas, Putatan, Titiwangsa, Seremban & Rembau",2020-09-27,2020-10-19,community,ended,0,17,0,415,0,0,17
Kluster Jalan Apas,10,Klang,2020-09-28,2020-09-28,community,ended,0,9,0,313,0,0,9
Kluster Jalan Utara,12,Sandakan,2020-09-29,2020-09-28,community,ended,0,2,0,194,0,0,2
Kluster Bakawali,1,Johor Bahru,2020-09-29,2020-09-30,workplace,ended,0,15,0,372,0,0,15
Kluster Benteng PK,10,Klang & Kuala Langat,2020-09-29,2020-11-18,import,ended,0,80,0,469,0,0,80
Kluster Jalan Bomba,12,Sandakan,2020-09-29,2020-12-10,community,ended,0,102,0,377,0,2,100
Kluster Joo Hwa,12,Tawau,2020-10-01,2020-10-03,community,ended,0,7,0,379,0,0,7
Kluster Bah Ketil,2,"Baling, Langkawi & Kuala Muda",2020-10-01,2020-10-14,community,ended,0,15,0,490,0,0,15
Kluster Selasih,"1,5,10,16","Putrajaya, Sepang, Johor Bahru & Seremban ",2020-10-01,2020-10-15,community,ended,0,20,0,290,0,0,20
Kluster Jalan Meru,"1,3,6,8,10,14","Hulu Langat, Klang, Gombak, Petaling, Hulu Selangor, Kuala Selangor, Johor Bahru, Batu Pahat, Kota Bharu, Titiwangsa, Lembah Pantai, Kepong, Cheras, Temerloh & Muallim",2020-10-01,2020-11-02,community,ended,0,143,0,1139,0,0,143
Kluster Seri Anggerik,10,Hulu Selangor & Kuala Selangor,2020-10-02,2020-10-20,community,ended,0,24,0,96,0,0,24
Kluster Seri Setia,"10,14,16","Petaling, Gombak & Titiwangsa",2020-10-02,2020-10-22,community,ended,0,8,0,184,0,0,8
Kluster Jelok,"10,14","Kepong, Hulu Langat & Petaling",2020-10-03,2020-10-12,community,ended,0,5,0,31,0,0,5
Kluster Bah Rose,"2,7",Kuala Muda & Seberang Perai Utara,2020-10-03,2020-10-14,community,ended,0,11,0,563,0,0,11
Kluster Bah Lunas,2,Kulim & Baling,2020-10-03,2020-11-16,community,ended,0,5,0,161,0,0,5
Kluster Embun,10,Hulu Langat & Gombak,2020-10-04,2020-10-06,community,ended,0,7,0,247,0,0,7
Kluster Kau Sing,12,Tawau,2020-10-04,2020-10-19,community,ended,0,16,0,52,0,0,16
Kluster Bah Tanjung,11,Kuala Nerus,2020-10-05,2020-10-06,community,ended,0,8,0,230,0,0,8
Kluster Jeram,2,Kubang Pasu,2020-10-05,2020-10-18,highRisk,ended,0,5,0,351,0,0,5
Kluster Bah Sintok,"2,5,10","Kubang Pasu, Seremban & Gombak",2020-10-05,2020-10-20,community,ended,0,50,0,491,0,0,50
Kluster Batu,8,Larut Matang & Selama ,2020-10-06,2020-10-05,community,ended,0,7,0,1174,0,0,7
Kluster Ramai-Ramai,12,Sandakan,2020-10-06,2020-11-05,workplace,ended,0,278,0,801,0,1,277
Kluster Teduh,12,Lahad Datu,2020-10-06,2020-12-02,community,ended,0,53,0,2799,0,0,53
Kluster Bah Puchong,"8,10,14","Klang, Petaling, Kinta, Larut Matang, Selama & Titiwangsa ",2020-10-07,2020-10-09,community,ended,0,14,0,88,0,0,14
Kluster Penjara Reman,"2,7","Timur Laut, Barat Daya, Seberang Perai Utara & Kulim",2020-10-07,2020-12-03,detentionCentre,ended,0,524,0,2979,0,1,523
Kluster Bah Bangat,15,Labuan ,2020-10-08,2020-10-21,community,ended,0,11,0,803,0,0,11
Kluster Jalan Pantai,"10,14",Lembah Pantai & Petaling,2020-10-08,2020-10-21,community,ended,0,12,0,519,0,0,12
Kluster Bah Kasturi,"5,8,10,14,16","Seremban, Cheras, Titiwangsa, Putrajaya,Petaling, Klang, Kuala Langat, Hulu Langat, Gombak & Muallim",2020-10-08,2020-10-21,community,ended,0,28,0,671,0,0,28
Kluster Tujuh Serangkai,12,Tuaran & Kota Kinabalu ,2020-10-08,2020-11-04,community,ended,0,399,0,6372,0,2,397
Kluster Bah Arnab,13,Kuching,2020-10-08,2020-11-17,community,ended,0,12,0,72,0,0,12
Kluster Tanamera,12,Tawau & Tuaran,2020-10-08,2020-11-26,community,ended,0,89,0,160,0,0,89
Kluster Bah Lada,8,Perak Tengah & Hilir Perak,2020-10-09,2020-10-08,community,ended,0,4,0,56,0,0,4
Kluster Atap,12,Kota Kinabalu & Putatan,2020-10-09,2020-10-08,workplace,ended,0,4,0,48,0,0,4
Kluster Bah Sahabat,11,"Marang, Kuala Terengganu & Kuala Nerus",2020-10-09,2020-10-08,community,ended,0,11,0,53,0,0,11
Kluster Putra,13,Bintulu,2020-10-10,2020-10-09,community,ended,0,5,0,190,0,0,5
Kluster Tasik,"10,13","Miri, Petaling, Klang & Gombak ",2020-10-10,2020-10-19,religious,ended,0,24,0,635,0,0,24
Kluster Simera,"1,3,5,6,8,10,11,14,16","Besut, Kuantan, Petaling, Klang,  Hulu Langat, Gombak, Port Dickson, Manjung, Hilir Perak, Johor Bahru, Muar, Lembah Pantai, Putrajaya & Tanah Merah",2020-10-10,2020-10-30,workplace,ended,0,84,0,1152,0,0,84
Kluster Highway,12,Kota Belud,2020-10-10,2020-11-02,workplace,ended,0,48,0,158,0,0,48
Kluster Utama,"4,10,14","Gombak, Hulu Langat, Petaling, Kuala Selangor, Sepang, Alor Gajah, Lembah Pantai, Titiwangsa, Kepong & Cheras ",2020-10-10,2020-11-25,workplace,ended,0,283,0,1229,0,0,283
Kluster Bah Manggis,"5,10,12","Tawau, Kuala Langat, Klang, Gombak, Sepang, Kuala Selangor, Seremban & Port Dickson",2020-10-10,2021-01-17,community,ended,0,417,0,2619,0,0,417
Kluster Khazanah,12,Lahad Datu,2020-10-11,2020-10-21,community,ended,0,21,0,2228,0,0,21
Kluster Bah Bundle,"1,15",Labuan & Johor Bahru,2020-10-11,2020-10-22,workplace,ended,0,31,0,1028,0,0,31
Kluster Kasih,12,Lahad Datu & Kota Kinabalu,2020-10-11,2020-10-24,highRisk,ended,0,75,0,3001,0,0,75
Kluster Surat,12,Sandakan,2020-10-11,2020-10-25,community,ended,0,47,0,175,0,0,47
Kluster Sungei Way,"7,10,14","Petaling, Klang, Gombak, Hulu Langat, Kuala Langat, Titiwangsa, Lembah Pantai, Cheras, Timur Laut & Seberang Perai Utara",2020-10-11,2020-11-06,community,ended,0,62,0,554,0,0,62
Kluster Bah Perdana,14,Cheras & Lembah Pantai,2020-10-12,2020-10-11,community,ended,0,9,0,55,0,0,9
Kluster Rinting,"1,4",Melaka Tengah & Johor Bahru,2020-10-12,2020-10-12,education,ended,0,10,0,302,0,0,10
Kluster Baiduri,"5,10,14","Hulu Langat, Port Dickson, Cheras, Gombak Titiwangsa & Lembah Pantai",2020-10-12,2020-10-24,workplace,ended,0,22,0,363,0,0,22
Kluster Kolong,12,Keningau,2020-10-12,2020-11-05,community,ended,0,33,0,331,0,0,33
Kluster Bah Tropicana,"10,14","Petaling, Gombak, Klang, Kuala Langat, Titiwangsa, Lembah Pantai, Kepong & Cheras",2020-10-12,2020-11-18,workplace,ended,0,76,0,945,0,0,76
Kluster Semarak,12,Tawau,2020-10-13,2020-10-12,community,ended,0,14,0,19,0,0,14
Kluster Sabindo,12,Tawau,2020-10-13,2020-10-12,workplace,ended,0,14,0,76,0,0,14
Kluster Bina,12,Beaufort & Sipitang,2020-10-13,2020-10-22,workplace,ended,0,25,0,83,0,0,25
Kluster Bestari,12,Sandakan ,2020-10-13,2020-10-24,community,ended,0,28,0,61,0,0,28
Kluster Bah Kenangan,10,Hulu Langat ,2020-10-13,2020-11-10,community,ended,0,29,0,61,0,0,29
Kluster Penjara Seberang Perai,"7,9","Seberang Perai Selatan, Seberang Perai Utara & Arau",2020-10-13,2021-03-04,detentionCentre,ended,0,776,0,3266,0,0,776
Kluster Kencana,"1,10,11,14","Petaling, Hulu Langat, Klang, Gombak, Cheras, Johor Bahru, Batu Pahat, Pontian & Kuala Nerus ",2020-10-14,2020-10-20,workplace,ended,0,26,0,685,0,0,26
Kluster Bah Pasir,"5,16",Port Dickson & Putrajaya,2020-10-15,2020-10-15,community,ended,0,5,0,90,0,0,5
Kluster Bah Pengkalan,8,Hulu Perak,2020-10-15,2020-10-15,education,ended,0,6,0,354,0,0,6
Kluster Olive,"10,12","Hulu Langat, Penampang & Kota Marudu",2020-10-15,2020-10-19,religious,ended,0,18,0,285,0,0,18
Kluster Saguking,15,Labuan,2020-10-15,2020-12-06,community,ended,0,414,0,3623,0,2,412
Kluster Lekir,8,Manjung & Kerian,2020-10-16,2020-10-23,community,ended,0,18,0,221,0,0,18
Kluster Merbok,10,"Kuala Langat, Klang, Hulu Langat, Petaling & Kuala Selangor",2020-10-16,2020-11-11,workplace,ended,0,35,0,765,0,0,35
Kluster Buntar,"1,2,7,8,10,14,16","Kuala Muda, Hilir Perak, Kampar, Batang Padang, Kerian, Kinta, Hulu Perak, Kuala Kangsar, Larut, Matang & Selama, Kepong, Titiwangsa, Lembah Pantai, Putrajaya, Batu Pahat, Johor Bahru, Petaling, Sepang & Seberang Perai Selatan",2020-10-16,2020-12-06,workplace,ended,0,252,0,2888,0,4,248
Kluster Menara,"4,8,10,11,14,16","Hulu Langat, Petaling, Gombak, Klang, Sepang, Kuala Langat, Cheras, Titiwangsa, Lembah Pantai, WP Putrajaya, Larut Matang, Selama, Kuala Nerus & Melaka Tengah",2020-10-17,2020-10-30,workplace,ended,0,85,0,548,0,0,85
Kluster Sentral,"10,14","Kepong, Cheras, Titiwangsa, Lembah Pantai & Petaling ",2020-10-17,2020-11-05,highRisk,ended,0,19,0,366,0,1,18
Kluster Bah Bemban,"11,12",Dungun & Kota Kinabalu,2020-10-17,2020-11-16,community,ended,0,12,0,222,0,0,12
Kluster Keladi,10,Klang & Kuala Langat,2020-10-17,2021-01-13,workplace,ended,0,61,0,361,0,0,61
Kluster Bah Layangan,"5,15",Labuan & Rembau ,2020-10-18,2020-10-26,community,ended,0,14,0,142,0,0,14
Kluster Alma,"2,7,8","Seberang Perai Tengah, Seberang Perai Selatan, Seberang Perai Utara, Kerian, Bandar Baharu & Kulim",2020-10-18,2020-11-03,community,ended,0,46,0,818,0,0,46
Kluster Auto,"5,10,14,16","Petaling, Klang, Kuala Langat, Sepang, Gombak, Hulu Langat, Kuala Selangor, Seremban, Titiwangsa & Putrajaya",2020-10-18,2020-11-14,community,ended,0,128,0,1173,0,1,127
Kluster Penjara Kepayan,12,"Kota Kinabalu, Papar, Penampang, Sandakan & Putatan",2020-10-18,2021-02-22,detentionCentre,ended,0,1900,0,3667,0,1,1899
Kluster Bukit,4,"Melaka Tengah, Alor Gajah & Jasin",2020-10-19,2020-11-04,highRisk,ended,0,17,0,631,0,0,17
Kluster Hentian,"5,8,10,14,16","Hulu Langat, Petaling, Sepang, Klang, Gombak, Kuala Langat, Cheras, Titiwangsa, Putrajaya, Seremban,  Port Dickson, Kuala Pilah, Batang Padang",2020-10-19,2021-04-13,workplace,ended,0,3019,0,13372,0,0,3019
Kluster Kertang,12,Kota Belud,2020-10-20,2020-11-08,workplace,ended,0,42,0,784,0,0,42
Kluster Long,"10,14","Hulu Langat, Petaling, Sepang, Titiwangsa, Lembah Pantai & Kepong",2020-10-21,2020-10-24,community,ended,0,26,0,460,0,0,26
Kluster Bah Kota,"5,10","Sepang, Petaling & Seremban",2020-10-21,2020-10-27,community,ended,0,13,0,181,0,0,13
Kluster Inai,12,Kudat ,2020-10-21,2020-11-02,community,ended,0,63,0,120,0,0,63
Kluster Cahaya,"5,10,14","Petaling, Tampin, Titiwangsa, Lembah Pantai, Kepong & Cheras",2020-10-21,2020-11-03,religious,ended,0,55,0,458,0,0,55
Kluster Melati,"6,8,10,14","Titiwangsa, Kepong, Cheras, Klang,  Petaling, Hulu Langat, Kuantan & Hilir Perak",2020-10-21,2020-11-09,workplace,ended,0,77,0,398,0,1,76
Kluster Tempayan,12,Penampang & Kota Kinabalu ,2020-10-21,2020-11-09,workplace,ended,0,35,0,253,0,0,35
Kluster Bina Labuan,15,Labuan,2020-10-21,2020-11-13,workplace,ended,0,50,0,214,0,1,49
Kluster Basung,12,Kudat,2020-10-21,2020-11-14,workplace,ended,0,94,0,700,0,0,94
